,Fungi_percent,ID
TP9L2,52.06658567,TP9L2
TP10L19,71.94745601,TP10L19
TP10L11,86.01161216,TP10L11
TP10L2,67.80114203,TP10L2
TP11L19,79.89964204,TP11L19
TP11L11,86.50096368,TP11L11
TP11L2,99.78523624,TP11L2
TP12L11,98.17866162,TP12L11
TP12L19,97.78843331,TP12L19
TP13L19,97.04204252,TP13L19
TP13L2,96.53661856,TP13L2
TP13L11,97.92907567,TP13L11
TP14L11,98.36787428,TP14L11
TP15L19,96.76078482,TP15L19
TP15L2,93.83733563,TP15L2
TP15L11,97.22995697,TP15L11
TP17L2,96.88651204,TP17L2
TP17L11,97.82235376,TP17L11
TP17L19,96.61684579,TP17L19
