ID_Trans,ID1,ID2,ID3,ID_cross,ID_OTU,Cultivar,Habitat,Timepiont,Treatment1,plot
SRR8743219_unmaped__quant,SRR8743219,SRX5535291,A0622162R11,BTX642_Root_TP03_Control_11,TP3R11,BTX642,Root,TP03,Control,11
SRR8743220_unmaped__quant,SRR8743220,SRX5535292,A0622162R19,BTX642_Root_TP03_Control_19,TP3R19,BTX642,Root,TP03,Control,19
SRR8743221_unmaped__quant,SRR8743221,SRX5535293,A0622162R02,BTX642_Root_TP03_Control_2,TP3R2,BTX642,Root,TP03,Control,2
SRR8742864_quant,SRR8742864,SRX5534936,A0629164L05,RTX430_Leaf_TP04_Pre_flowering_drought_5,TP4L5,RTX430,Leaf,TP04,Pre_flowering_drought,5
SRR8742865_quant,SRR8742865,SRX5534937,A0629164L13,RTX430_Leaf_TP04_Pre_flowering_drought_13,TP4L13,RTX430,Leaf,TP04,Pre_flowering_drought,13
SRR8742866_quant,SRR8742866,SRX5534938,A0629164L18,RTX430_Leaf_TP04_Pre_flowering_drought_18,TP4L18,RTX430,Leaf,TP04,Pre_flowering_drought,18
SRR8742923_quant,SRR8742923,SRX5534995,A0629164L12,RTX430_Leaf_TP04_Control_12,TP4L12,RTX430,Leaf,TP04,Control,12
SRR8742924_quant,SRR8742924,SRX5534996,A0629164L20,RTX430_Leaf_TP04_Control_20,TP4L20,RTX430,Leaf,TP04,Control,20
SRR8742925_quant,SRR8742925,SRX5534997,A0629164L01,RTX430_Leaf_TP04_Control_1,TP4L1,RTX430,Leaf,TP04,Control,1
SRR8742961_quant,SRR8742961,SRX5535033,A0629164L06,BTX642_Leaf_TP04_Pre_flowering_drought_6,TP4L6,BTX642,Leaf,TP04,Pre_flowering_drought,6
SRR8742962_quant,SRR8742962,SRX5535034,A0629164L14,BTX642_Leaf_TP04_Pre_flowering_drought_14,TP4L14,BTX642,Leaf,TP04,Pre_flowering_drought,14
SRR8742963_quant,SRR8742963,SRX5535035,A0629164L17,BTX642_Leaf_TP04_Pre_flowering_drought_17,TP4L17,BTX642,Leaf,TP04,Pre_flowering_drought,17
