"","dd","ID_C","ID_OTU","Fungi_percent"
"1",3.1479169439425,"SRR8742861_quant","TP3L5",3.17767339
"2",3.5584873629513,"SRR8742862_quant","TP3L13",57.78991748
"3",3.27193129813472,"SRR8742863_quant","TP3L18",6.734275737
"4",2.63181296838311,"SRR8742864_quant","TP4L5",17.17123936
"5",3.26957707009864,"SRR8742865_quant","TP4L13",3.046402808
"6",3.44576445020286,"SRR8742866_quant","TP4L18",13.60513133
"7",3.20018652690944,"SRR8742867_quant","TP5L13",9.236646589
"8",3.21767696784009,"SRR8742868_quant","TP5L5",4.108228144
"9",3.45086975183906,"SRR8742869_quant","TP6L5",8.039666088
"10",3.72267740917077,"SRR8742870_quant","TP6L13",14.88869967
"11",3.25252550543413,"SRR8742871_quant","TP6L18",6.127630999
"12",3.96735631785263,"SRR8742872_quant","TP7L5",9.656940545
"13",3.04009218480494,"SRR8742873_quant","TP8L13",7.662200813
"14",3.53523958099856,"SRR8742874_quant","TP8L5",28.70958289
"15",2.36087761765842,"SRR8742875_quant","TP8L18",31.34535952
"16",3.67493065264989,"SRR8742876_quant","TP9L13",33.71847572
"17",2.83994476145774,"SRR8742877_quant","TP9L5",25.66297882
"18",2.86731933104089,"SRR8742878_quant","TP9L18",31.48867707
"19",3.43033079091615,"SRR8742879_quant","TP10L13",38.66610013
"20",3.38049806547651,"SRR8742880_quant","TP10L5",61.63943812
"21",2.8419000209761,"SRR8742881_quant","TP10L18",38.71848193
"22",2.45232077754568,"SRR8742882_quant","TP11L13",64.88646994
"23",2.95661856145256,"SRR8742883_quant","TP11L5",60.90381662
"24",2.75009201827982,"SRR8742884_quant","TP11L18",38.94679931
"25",4.38912258488133,"SRR8742885_quant","TP12L18",84.18990766
"26",2.33358119662581,"SRR8742886_quant","TP12L13",72.28806385
"27",2.46643799517348,"SRR8742887_quant","TP12L5",85.82854156
"28",2.23364177767068,"SRR8742888_quant","TP13L13",97.6570935
"29",2.1490083425774,"SRR8742889_quant","TP13L18",95.05036569
"30",1.98521152336543,"SRR8742890_quant","TP13L5",88.66245166
"31",1.98533590787378,"SRR8742891_quant","TP14L5",95.91836735
"32",1.94113216264172,"SRR8742892_quant","TP15L5",92.63828415
"33",2.07299497868003,"SRR8742893_quant","TP16L5",94.74758621
"34",2.02930518816316,"SRR8742894_quant","TP17L13",92.23234185
"35",1.9385896693519,"SRR8742895_quant","TP17L5",98.04283198
"36",1.77616461398556,"SRR8742896_quant","TP17L18",97.50446325
"37",3.53263551473908,"SRR8742897_quant","TP9L3",55.41911202
"38",3.27895966625979,"SRR8742898_quant","TP9L22",54.48691901
"39",3.12351218830681,"SRR8742899_quant","TP9L16",51.29515419
"40",2.40345283035447,"SRR8742900_quant","TP10L3",65.19857323
"41",2.24739315712994,"SRR8742901_quant","TP10L22",80.88256657
"42",1.97058880569748,"SRR8742902_quant","TP10L16",41.66018095
"43",1.93299300857352,"SRR8742903_quant","TP11L3",87.83995231
"44",2.04704360987438,"SRR8742904_quant","TP11L22",68.5783711
"45",1.89405367028732,"SRR8742905_quant","TP11L16",71.86785635
"46",1.81347843216685,"SRR8742906_quant","TP12L22",95.20393568
"47",1.56439106761953,"SRR8742907_quant","TP13L16",95.51783228
"48",1.63966687494624,"SRR8742908_quant","TP13L3",95.59096686
"49",1.83308411386253,"SRR8742909_quant","TP13L22",95.81501888
"50",1.78070636987245,"SRR8742910_quant","TP14L22",95.16385722
"51",1.7840513605581,"SRR8742911_quant","TP15L3",93.5331825
"52",1.6103556170418,"SRR8742912_quant","TP15L16",95.24958468
"53",1.67425645089012,"SRR8742913_quant","TP15L22",96.65193297
"54",2.15729165885157,"SRR8742914_quant","TP17L3",94.59855799
"55",1.76464435497149,"SRR8742915_quant","TP17L16",97.44375523
"56",1.72485890916663,"SRR8742916_quant","TP17L22",96.97372374
"57",2.82207104673833,"SRR8742917_quant","TP2L12",6.591235632
"58",2.99751833722047,"SRR8742918_quant","TP2L20",11.67315175
"59",3.52780001379574,"SRR8742919_quant","TP2L1",11.71119955
"60",3.24634135031733,"SRR8742920_quant","TP3L12",6.534551977
"61",3.22867237224537,"SRR8742921_quant","TP3L20",3.928944619
"62",3.53109197524506,"SRR8742922_quant","TP3L1",12.73741983
