ID,observed_KO,Shannon_KO,Simpson_KO
TP9L11,37578,12.2886,0.9972
TP9L12,29513,11.6257,0.9971
TP9L13,15245,9.7556,0.9911
TP9L14,12243,10.0211,0.9937
TP9L15,28091,11.3236,0.9925
TP9L16,17375,9.7288,0.9867
TP9L17,17587,9.2042,0.9798
TP9L18,13783,8.7014,0.9745
TP9L19,25180,11.5463,0.9965
TP9L2,12935,0.9884,0.119
TP9L20,28074,11.4789,0.9971
TP9L21,26819,11.0813,0.9946
TP9L22,26590,10.3804,0.99
TP9L3,23030,9.6532,0.9835
TP9L4,24361,10.8661,0.9923
TP9L5,12601,10.116,0.9949
TP9L6,12702,10.6412,0.9943
TP9R1,74938,13.1871,0.9974
TP9R11,57322,12.9604,0.9981
TP9R12,69180,13.1054,0.9974
TP9R13,41268,11.4742,0.9933
TP9R14,33517,11.9751,0.9978
TP9R15,72940,13.1664,0.9968
TP9R16,68773,13.3191,0.9977
TP9R17,29701,11.9699,0.9981
TP9R18,30817,11.1383,0.9916
TP9R19,61202,12.9779,0.9982
TP9R2,43500,12.4457,0.9967
TP9R20,82736,13.5058,0.9986
TP9R21,57970,13.0042,0.9984
TP9R22,73350,13.2327,0.9977
TP9R3,79593,13.5259,0.9989
TP9R4,65914,13.5573,0.9991
TP9R5,43634,11.7983,0.9952
TP9R6,39959,12.0312,0.9973
