"","ID_OTU","Fungi_percent","ID.x","size_content","ID.y","GC_content","ID1","ID2","ID3","ID_cross","Cultivar","Habitat","Timepiont","Treatment1","plot"
"26","TP12L13",72.28806385,"TP12L13",2161.60281685372,"SRR8742886_quant",48.169100609752,"SRR8742886","SRX5534958","A0824164L13","RTX430_Leaf_TP12_Pre_flowering_drought_13","RTX430","Leaf",12,"Pre_flowering_drought",13
"27","TP12L5",85.82854156,"TP12L5",1866.04977599306,"SRR8742887_quant",50.4493308302413,"SRR8742887","SRX5534959","A0824164L05","RTX430_Leaf_TP12_Pre_flowering_drought_5","RTX430","Leaf",12,"Pre_flowering_drought",5
"28","TP13L13",97.6570935,"TP13L13",1711.71606257019,"SRR8742888_quant",50.7356277602499,"SRR8742888","SRX5534960","A0831165L13","RTX430_Leaf_TP13_Pre_flowering_drought_13","RTX430","Leaf",13,"Pre_flowering_drought",13
"29","TP13L18",95.05036569,"TP13L18",1749.11503851252,"SRR8742889_quant",50.3932985942006,"SRR8742889","SRX5534961","A0831165L18","RTX430_Leaf_TP13_Pre_flowering_drought_18","RTX430","Leaf",13,"Pre_flowering_drought",18
"30","TP13L5",88.66245166,"TP13L5",1614.56858931144,"SRR8742890_quant",51.3701880161313,"SRR8742890","SRX5534962","A0831165L05","RTX430_Leaf_TP13_Pre_flowering_drought_5","RTX430","Leaf",13,"Pre_flowering_drought",5
"31","TP14L5",95.91836735,"TP14L5",1709.039985413,"SRR8742891_quant",50.8591332114159,"SRR8742891","SRX5534963","A0907166L05","RTX430_Leaf_TP14_Pre_flowering_drought_5","RTX430","Leaf",14,"Pre_flowering_drought",5
"32","TP15L5",92.63828415,"TP15L5",1453.35306668781,"SRR8742892_quant",51.0928517980707,"SRR8742892","SRX5534964","A0914167L05","RTX430_Leaf_TP15_Pre_flowering_drought_5","RTX430","Leaf",15,"Pre_flowering_drought",5
"33","TP16L5",94.74758621,"TP16L5",1307.43204815763,"SRR8742893_quant",52.7530268765627,"SRR8742893","SRX5534965","A0921168L05","RTX430_Leaf_TP16_Pre_flowering_drought_5","RTX430","Leaf",16,"Pre_flowering_drought",5
"34","TP17L13",92.23234185,"TP17L13",1440.51389827805,"SRR8742894_quant",52.2141227208751,"SRR8742894","SRX5534966","A0928169L13","RTX430_Leaf_TP17_Pre_flowering_drought_13","RTX430","Leaf",17,"Pre_flowering_drought",13
"35","TP17L5",98.04283198,"TP17L5",1501.65000687701,"SRR8742895_quant",51.6819360276915,"SRR8742895","SRX5534967","A0928169L05","RTX430_Leaf_TP17_Pre_flowering_drought_5","RTX430","Leaf",17,"Pre_flowering_drought",5
"36","TP17L18",97.50446325,"TP17L18",1314.21888437907,"SRR8742896_quant",52.9233818958373,"SRR8742896","SRX5534968","A0928169L18","RTX430_Leaf_TP17_Pre_flowering_drought_18","RTX430","Leaf",17,"Pre_flowering_drought",18
"37","TP9L3",55.41911202,"TP9L3",2166.83232596786,"SRR8742897_quant",46.5470924342882,"SRR8742897","SRX5534969","A0803169L03","RTX430_Leaf_TP09_Post_flowering_drought_3","RTX430","Leaf",9,"Post_flowering_drought",3
"38","TP9L22",54.48691901,"TP9L22",2191.61800717728,"SRR8742898_quant",47.5363076472281,"SRR8742898","SRX5534970","A0803169L22","RTX430_Leaf_TP09_Post_flowering_drought_22","RTX430","Leaf",9,"Post_flowering_drought",22
"39","TP9L16",51.29515419,"TP9L16",2369.04463075515,"SRR8742899_quant",46.8109382829816,"SRR8742899","SRX5534971","A0803169L16","RTX430_Leaf_TP09_Post_flowering_drought_16","RTX430","Leaf",9,"Post_flowering_drought",16
"40","TP10L3",65.19857323,"TP10L3",2260.30364430646,"SRR8742900_quant",48.1770409070281,"SRR8742900","SRX5534972","A0810162L03","RTX430_Leaf_TP10_Post_flowering_drought_3","RTX430","Leaf",10,"Post_flowering_drought",3
"41","TP10L22",80.88256657,"TP10L22",1908.47720314053,"SRR8742901_quant",49.3193321748521,"SRR8742901","SRX5534973","A0810162L22","RTX430_Leaf_TP10_Post_flowering_drought_22","RTX430","Leaf",10,"Post_flowering_drought",22
"42","TP10L16",41.66018095,"TP10L16",1898.52007615676,"SRR8742902_quant",48.4431932471468,"SRR8742902","SRX5534974","A0810162L16","RTX430_Leaf_TP10_Post_flowering_drought_16","RTX430","Leaf",10,"Post_flowering_drought",16
"43","TP11L3",87.83995231,"TP11L3",1625.8004082093,"SRR8742903_quant",51.5668017340603,"SRR8742903","SRX5534975","A0817163L03","RTX430_Leaf_TP11_Post_flowering_drought_3","RTX430","Leaf",11,"Post_flowering_drought",3
"44","TP11L22",68.5783711,"TP11L22",1599.36562683752,"SRR8742904_quant",51.4913344906961,"SRR8742904","SRX5534976","A0817163L22","RTX430_Leaf_TP11_Post_flowering_drought_22","RTX430","Leaf",11,"Post_flowering_drought",22
"45","TP11L16",71.86785635,"TP11L16",1512.3290535382,"SRR8742905_quant",51.1680389622616,"SRR8742905","SRX5534977","A0817163L16","RTX430_Leaf_TP11_Post_flowering_drought_16","RTX430","Leaf",11,"Post_flowering_drought",16
"46","TP12L22",95.20393568,"TP12L22",1397.38060699091,"SRR8742906_quant",52.2103325981904,"SRR8742906","SRX5534978","A0824164L22","RTX430_Leaf_TP12_Post_flowering_drought_22","RTX430","Leaf",12,"Post_flowering_drought",22
"47","TP13L16",95.51783228,"TP13L16",1138.36386302498,"SRR8742907_quant",53.8786820550454,"SRR8742907","SRX5534979","A0831165L16","RTX430_Leaf_TP13_Post_flowering_drought_16","RTX430","Leaf",13,"Post_flowering_drought",16
